Mouse tail ID,Mouse ID,Genotype,Time to start digging in the right place,Time to bite,Time to take/dig out the cracker,Time to retrieve the cracker,Date
41,415M,NORM,00:00:13,00:00:36,00:00:36,00:00:36,13-05-2019
42,420M,NORM,00:00:16,00:00:20,00:00:20,00:00:20,13-05-2019
51,408M,PARK,00:00:19,00:00:26,00:00:26,00:00:26,13-05-2019
52,407M,NORM,00:00:11,00:00:15,00:00:15,00:00:15,13-05-2019
53,409M,PARK,00:00:07,00:00:16,00:00:16,00:00:16,13-05-2019
54,410M,NORM,00:00:04,00:00:36,00:00:17,00:00:17,13-05-2019
61,402M,NORM,00:00:16,00:00:36,00:00:36,00:00:36,13-05-2019
62,401M,PARK,00:00:28,00:00:49,00:00:33,00:00:33,13-05-2019
63,399M,NORM,00:00:17,00:00:24,00:00:24,00:00:24,13-05-2019
64,400M,PARK,00:00:10,00:00:43,00:00:33,00:00:33,13-05-2019
