Test cage no.;Mouse ID;Tail ID;Water.start;Saccharin.start;Water.finish;Saccharin.finish;Start;Finish
20;400M;64;1;1;2;13,5;24.04.2019;25.04.2019
1;382M;11;1;0,5;2,1;6,75;10.05.2019;11.05.2019
2;384M;12;2,25;1;6,5;1,1;10.05.2019;11.05.2019
3;383M;13;1,25;0,5;2;6,9;10.05.2019;11.05.2019
4;394M;21;1,25;0,75;1,75;9;10.05.2019;11.05.2019
5;390M;22;0,75;1;1,1;13,6;10.05.2019;11.05.2019
6;393M;23;1;0,5;1,25;6,9;10.05.2019;11.05.2019
7;392M;31;0,5;0,5;0,75;7,5;10.05.2019;11.05.2019
8;391M;32;1,25;0,25;1,75;12,75;10.05.2019;11.05.2019
9;389M;33;1,5;0,25;4,25;3,1;10.05.2019;11.05.2019
10;395M;34;1,25;1;3;6;10.05.2019;11.05.2019
11;415M;41;1;1,25;4;3,25;10.05.2019;11.05.2019
12;420M;42;1,5;1,25;2;9,25;10.05.2019;11.05.2019
13;408M;51;4,5;1,25;5;12,5;10.05.2019;11.05.2019
14;407M;52;1,5;0,5;2;6,5;10.05.2019;11.05.2019
15;409M;53;1,25;1;25;25;10.05.2019;11.05.2019
16;410M;54;1;1,25;2,25;3,5;10.05.2019;11.05.2019
17;402M;61;1,25;1,25;1,75;5;10.05.2019;11.05.2019
18;401M;62;1;0,75;2;4;10.05.2019;11.05.2019
19;399M;63;1;1;1,5;7,5;10.05.2019;11.05.2019
20;400M;64;1;1;1,5;9,25;10.05.2019;11.05.2019
